
TransactionID,CustomerID,ProductID,Quantity,TransactionTime,UnitPrice
1,1,101,3,'2024-02-28 12:15:00',500.00
2,2,102,5,'2024-02-27 14:30:00',1000.00
3,3,103,2,'2024-02-26 10:45:00',300.00
4,1,104,4,'2024-02-25 08:00:00',50.00
5,2,105,1,'2024-02-24 16:20:00',20.00
6,3,106,6,'2024-02-23 09:10:00',150.00
7,1,107,2,'2024-02-22 11:55:00',80.00
8,2,108,7,'2024-02-21 13:40:00',30.00
9,3,109,3,'2024-02-20 15:25:00',80.00
10,1,110,5,'2024-02-19 07:30:00',200.00
11,4,104,2,'2024-02-28 14:00:00',50.00
12,5,105,3,'2024-02-27 15:45:00',20.00
13,6,106,1,'2024-02-26 11:30:00',150.00
14,7,107,5,'2024-02-25 09:15:00',80.00
15,8,108,2,'2024-02-24 17:40:00',30.00
16,9,109,4,'2024-02-23 10:20:00',80.00
17,10,110,6,'2024-02-22 13:05:00',200.00
18,11,111,2,'2024-02-21 14:50:00',120.00
19,12,112,3,'2024-02-20 16:35:00',40.00
20,13,113,1,'2024-02-19 08:30:00',250.00
21,14,120,3,'2024-02-28 16:15:00',90.00
22,15,134,2,'2024-02-27 17:30:00',40.00
23,16,109,1,'2024-02-26 13:45:00',80.00
24,17,130,4,'2024-02-25 11:00:00',30.00
25,18,106,2,'2024-02-24 18:15:00',150.00
26,19,119,5,'2024-02-23 11:40:00',10.00
27,20,126,3,'2024-02-22 14:25:00',120.00
28,21,114,1,'2024-02-21 16:10:00',200.00
29,22,135,2,'2024-02-20 17:55:00',120.00
30,23,137,4,'2024-02-19 09:40:00',35.00
31,24,105,3,'2024-02-18 11:25:00',20.00
32,25,127,2,'2024-02-17 13:10:00',15.00
33,26,110,1,'2024-02-16 14:55:00',200.00
34,27,116,5,'2024-02-15 16:40:00',180.00
35,28,132,3,'2024-02-14 18:25:00',40.00
36,29,128,2,'2024-02-13 20:10:00',25.00
37,30,112,1,'2024-02-12 21:55:00',40.00
38,31,136,4,'2024-02-11 23:40:00',120.00
39,32,123,2,'2024-02-10 01:25:00',250.00
40,33,118,3,'2024-02-09 03:10:00',10.00
41,34,114,2,'2024-02-08 04:55:00',50.00
42,35,129,3,'2024-02-07 06:40:00',50.00
43,36,107,1,'2024-02-06 08:25:00',80.00
44,37,138,4,'2024-02-05 10:10:00',25.00
45,38,121,2,'2024-02-04 11:55:00',120.00
46,39,124,5,'2024-02-03 13:40:00',100.00
47,40,102,3,'2024-02-02 15:25:00',1000.00
48,41,115,2,'2024-02-01 17:10:00',40.00
49,42,140,1,'2024-01-31 18:55:00',90.00
50,43,137,3,'2024-01-30 20:40:00',35.00
51,44,134,4,'2024-01-29 22:25:00',40.00
52,45,122,2,'2024-01-28 00:10:00',60.00
53,46,119,3,'2024-01-27 01:55:00',10.00
54,47,133,1,'2024-01-26 03:40:00',80.00
55,48,104,4,'2024-01-25 05:25:00',50.00
56,49,128,2,'2024-01-24 07:10:00',25.00
57,50,105,5,'2024-01-23 08:55:00',20.00
58,51,101,3,'2024-01-22 10:40:00',500.00
59,52,111,2,'2024-01-21 12:25:00',120.00
60,53,139,1,'2024-01-20 14:10:00',90.00
61,54,129,4,'2024-01-19 15:55:00',50.00
62,55,123,2,'2024-01-18 17:40:00',250.00
63,56,116,3,'2024-01-17 19:25:00',180.00
64,57,120,1,'2024-01-16 21:10:00',90.00
65,58,134,5,'2024-01-15 22:55:00',40.00
66,59,108,3,'2024-01-14 00:40:00',30.00
67,60,138,2,'2024-01-13 02:25:00',25.00
68,61,113,4,'2024-01-12 04:10:00',150.00
69,62,109,2,'2024-01-11 05:55:00',80.00
70,63,125,3,'2024-01-10 07:40:00',15.00

