AccessID,TransactionID,AvgTimeOnPage,VisitedPage,CustomerID
1,1,30,homepage,15
2,2,45,product_page,29
3,3,20,category_page,53
4,4,35,homepage,42
5,5,25,checkout_page,10
6,6,40,product_page,7
7,7,15,category_page,33
8,8,50,checkout_page,18
9,9,30,product_page,27
10,10,10,homepage,49
11,11,22,category_page,14
12,12,38,product_page,37
13,13,18,checkout_page,24
14,14,28,homepage,60
15,15,42,category_page,6
16,16,33,product_page,46
17,17,27,checkout_page,3
18,18,19,homepage,19
19,19,36,category_page,35
20,20,12,checkout_page,51
21,21,29,product_page,41
22,22,41,homepage,8
23,23,21,category_page,31
24,24,17,checkout_page,12
25,25,23,product_page,16
26,26,34,homepage,57
27,27,16,category_page,23
28,28,48,checkout_page,39
29,29,26,product_page,50
30,30,14,homepage,2
31,31,22,product_page,11
32,32,39,homepage,30
33,33,17,category_page,56
34,34,24,checkout_page,7
35,35,31,product_page,45
36,36,13,homepage,17
37,37,28,category_page,34
38,38,46,checkout_page,48
39,39,20,product_page,1
40,40,10,homepage,21
41,41,30,category_page,29
42,42,38,checkout_page,13
43,43,19,product_page,37
44,44,25,homepage,54
45,45,42,category_page,8
46,46,32,checkout_page,24
47,47,26,product_page,57
48,48,18,homepage,3
49,49,35,category_page,40
50,50,12,checkout_page,68
51,51,28,product_page,12
52,52,17,homepage,28
53,53,34,category_page,44
54,54,22,checkout_page,60
55,55,15,product_page,18
56,56,41,homepage,4
57,57,29,category_page,59
58,58,19,checkout_page,25
59,59,26,product_page,50
60,60,12,homepage,33
61,61,33,category_page,10
62,62,23,checkout_page,47
63,63,18,product_page,20
64,64,30,homepage,38
65,65,37,category_page,15
66,66,27,checkout_page,55
67,67,21,product_page,22
68,68,14,homepage,5
69,69,31,category_page,32
70,70,25,checkout_page,66
